2026-05-24T01:18:31.949Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:18:31.971Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:18:33.067Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:18:33.067Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:20:22.183Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:20:22.186Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:20:22.192Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:20:22.193Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:20:24.304Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:20:24.307Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:20:29.604Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:20:29.606Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:20:29.606Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:20:29.606Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:20:29.607Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:20:29.607Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:20:29.608Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial5","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:20:29.609Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:20:29.633Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:20:29.633Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:20:29.634Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:20:29.634Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:20:31.652Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:20:31.652Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:30:56.430Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:30:56.430Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:30:56.432Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: null
2026-05-24T01:30:56.432Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:30:56.432Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: null
2026-05-24T01:30:56.432Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:30:56.467Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:30:56.467Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:30:56.468Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:30:56.468Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:30:56.468Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial5","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:30:56.468Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:30:57.015Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:30:57.015Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:31:42.248Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:31:42.261Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:31:42.265Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:31:42.273Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:32:03.116Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:03.118Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: null
2026-05-24T01:32:03.119Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:32:03.206Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:32:03.207Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:32:03.207Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:32:03.334Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:03.336Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: null
2026-05-24T01:32:03.336Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"1.15.10"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:32:03.463Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:32:03.463Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:32:03.463Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial5","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:32:04.397Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:32:04.398Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:32:38.878Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:32:38.879Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:32:38.880Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:32:38.881Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:32:40.991Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:40.991Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:44.402Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:44.403Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:32:44.403Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:32:44.405Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial5","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:32:44.414Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:32:44.414Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:32:44.499Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:32:44.500Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:32:44.500Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:32:44.504Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:32:44.508Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:32:44.508Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-24T01:32:44.509Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:32:44.509Z | prompts/list | {} | SUCCESS | RESPONSE: {"prompts":[]}
2026-05-24T01:35:16.188Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:35:16.188Z | SIGTERM | {"signal":"SIGTERM"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-05-24T01:35:16.190Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:35:16.191Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-24T01:35:18.315Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:35:18.317Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:35:23.833Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:35:23.836Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:35:23.836Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:35:23.864Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:35:23.866Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
